"Notes","Year","Year Code","State","State Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"2020","2020","Arizona","04",2745,7421401,37.0,39.0
,"2020","2020","Arkansas","05",665,3030522,21.9,23.7
,"2020","2020","California","06",9788,39368078,24.9,24.5
,"2020","2020","Colorado","08",1659,5807719,28.6,28.5
,"2020","2020","Connecticut","09",1453,3557006,40.8,42.4
,"2020","2020","Delaware","10",474,986809,48.0,51.2
,"2020","2020","District of Columbia","11",443,712816,62.1,60.9
,"2020","2020","Florida","12",7866,21733312,36.2,39.0
,"2020","2020","Georgia","13",2288,10710017,21.4,22.1
,"2020","2020","Hawaii","15",309,1407006,22.0,21.3
,"2020","2020","Idaho","16",335,1826913,18.3,19.0
,"2020","2020","Illinois","17",3949,12587530,31.4,32.0
,"2020","2020","Indiana","18",2546,6754953,37.7,40.5
,"2020","2020","Iowa","19",505,3163561,16.0,17.1
,"2020","2020","Kansas","20",592,2913805,20.3,21.4
,"2020","2020","Kentucky","21",2218,4477251,49.5,52.7
,"2020","2020","Louisiana","22",2079,4645318,44.8,47.1
,"2020","2020","Maine","23",537,1350141,39.8,44.3
,"2020","2020","Maryland","24",3012,6055802,49.7,49.3
,"2020","2020","Massachusetts","25",2454,6893574,35.6,36.9
,"2020","2020","Michigan","26",3123,9966555,31.3,33.3
,"2020","2020","Minnesota","27",1182,5657342,20.9,21.8
,"2020","2020","Mississippi","28",719,2966786,24.2,26.3
,"2020","2020","Missouri","29",2046,6151548,33.3,35.4
,"2020","2020","Montana","30",183,1080577,16.9,18.1
,"2020","2020","Nebraska","31",270,1937552,13.9,14.4
,"2020","2020","Nevada","32",903,3138259,28.8,28.7
,"2020","2020","New Hampshire","33",422,1366275,30.9,33.6
,"2020","2020","New Jersey","34",3036,8882371,34.2,34.8
,"2020","2020","New Mexico","35",844,2106319,40.1,42.7
,"2020","2020","New York","36",5418,19336776,28.0,28.2
,"2020","2020","North Carolina","37",3578,10600823,33.8,35.9
,"2020","2020","North Dakota","38",137,765309,17.9,18.6
,"2020","2020","Ohio","39",5629,11693217,48.1,51.6
,"2020","2020","Oklahoma","40",863,3980783,21.7,22.3
,"2020","2020","Oregon","41",886,4241507,20.9,21.4
,"2020","2020","Pennsylvania","42",5552,12783254,43.4,46.4
,"2020","2020","Rhode Island","44",418,1057125,39.5,41.0
,"2020","2020","South Carolina","45",1934,5218040,37.1,39.7
,"2020","2020","South Dakota","46",118,892717,13.2,14.3
,"2020","2020","Tennessee","47",3256,6886834,47.3,49.5
,"2020","2020","Texas","48",5101,29360759,17.4,17.5
,"2020","2020","Utah","49",733,3249879,22.6,23.8
,"2020","2020","Vermont","50",198,623347,31.8,35.0
,"2020","2020","Virginia","51",2509,8590563,29.2,30.3
,"2020","2020","Washington","53",1898,7693612,24.7,24.7
,"2020","2020","West Virginia","54",1385,1784787,77.6,85.7
,"2020","2020","Wisconsin","55",1725,5832655,29.6,31.9
,"2020","2020","Wyoming","56",108,582328,18.5,19.3
"Total","2020","2020",,,101471,329484123,30.8,31.8
,"2021","2021","Alabama","01",1595,5039877,31.6,34.7
,"2021","2021","Alaska","02",283,732673,38.6,39.1
,"2021","2021","Arizona","04",2951,7276316,40.6,42.7
,"2021","2021","Arkansas","05",760,3025891,25.1,27.2
,"2021","2021","California","06",11784,39237836,30.0,29.5
,"2021","2021","Colorado","08",2054,5812069,35.3,35.2
