year,state,deaths,population,crude_rate,age_adjusted_rate
2020,Kansas,592.0,2913805.0,20.3,21.4
2020,Kentucky,2218.0,4477251.0,49.5,52.7
2020,Louisiana,2079.0,4645318.0,44.8,47.1
2020,Maine,537.0,1350141.0,39.8,44.3
2020,Maryland,3012.0,6055802.0,49.7,49.3
2020,Massachusetts,2454.0,6893574.0,35.6,36.9
2020,Michigan,3123.0,9966555.0,31.3,33.3
2020,Minnesota,1182.0,5657342.0,20.9,21.8
2020,Mississippi,719.0,2966786.0,24.2,26.3
2020,Missouri,2046.0,6151548.0,33.3,35.4
2020,Montana,183.0,1080577.0,16.9,18.1
2020,Nebraska,270.0,1937552.0,13.9,14.4
2020,Nevada,903.0,3138259.0,28.8,28.7
2020,New Hampshire,422.0,1366275.0,30.9,33.6
2020,New Jersey,3036.0,8882371.0,34.2,34.8
2020,New Mexico,844.0,2106319.0,40.1,42.7
2020,New York,5418.0,19336776.0,28.0,28.2
2020,North Carolina,3578.0,10600823.0,33.8,35.9
2020,North Dakota,137.0,765309.0,17.9,18.6
2020,Ohio,5629.0,11693217.0,48.1,51.6
2020,Oklahoma,863.0,3980783.0,21.7,22.3
2020,Oregon,886.0,4241507.0,20.9,21.4
2020,Pennsylvania,5552.0,12783254.0,43.4,46.4
2020,Rhode Island,418.0,1057125.0,39.5,41.0
2020,South Carolina,1934.0,5218040.0,37.1,39.7
2020,South Dakota,118.0,892717.0,13.2,14.3
2020,Tennessee,3256.0,6886834.0,47.3,49.5
2020,Texas,5101.0,29360759.0,17.4,17.5
2020,Utah,733.0,3249879.0,22.6,23.8
2020,Vermont,198.0,623347.0,31.8,35.0
2020,Virginia,2509.0,8590563.0,29.2,30.3
2020,Washington,1898.0,7693612.0,24.7,24.7
2020,West Virginia,1385.0,1784787.0,77.6,85.7
2020,Wisconsin,1725.0,5832655.0,29.6,31.9
2020,Wyoming,108.0,582328.0,18.5,19.3
2021,Alabama,1595.0,5039877.0,31.6,34.7
2021,Alaska,283.0,732673.0,38.6,39.1
2021,Arizona,2951.0,7276316.0,40.6,42.7
2021,Arkansas,760.0,3025891.0,25.1,27.2
2021,California,11784.0,39237836.0,30.0,29.5
2021,Colorado,2054.0,5812069.0,35.3,35.2
2021,Connecticut,1642.0,3605597.0,45.5,46.1
2021,Delaware,539.0,1003384.0,53.7,57.5
2021,District of Columbia,480.0,670050.0,71.6,68.4
2021,Florida,8498.0,21781128.0,39.0,41.9
2021,Georgia,2847.0,10799566.0,26.4,27.5
2021,Hawaii,307.0,1441553.0,21.3,20.6
2021,Idaho,408.0,1900923.0,21.5,22.5
2021,Illinois,4124.0,12671469.0,32.5,32.8
2021,Indiana,3048.0,6805985.0,44.8,47.3
2021,Iowa,552.0,3193079.0,17.3,18.3
2021,Kansas,755.0,2934582.0,25.7,27.4
2021,Kentucky,2502.0,4509394.0,55.5,58.9
2021,Louisiana,2628.0,4624047.0,56.8,60.0
2021,Maine,636.0,1372247.0,46.3,50.1
2021,Maryland,2962.0,6165129.0,48.0,47.5
2021,Massachusetts,2708.0,6984723.0,38.8,39.3
2021,Michigan,3456.0,10050811.0,34.4,36.4
2021,Minnesota,1499.0,5707390.0,26.3,27.7
2021,Mississippi,925.0,2949965.0,31.4,33.9
2021,Missouri,2337.0,6168187.0,37.9,40.2
2021,Montana,218.0,1104271.0,19.7,21.9
2021,Nebraska,271.0,1963692.0,13.8,14.7
2021,Nevada,1033.0,3143991.0,32.9,32.6
2021,New Hampshire,467.0,1388992.0,33.6,35.5
2021,New Jersey,3246.0,9267130.0,35.0,35.2
2021,New Mexico,1087.0,2115877.0,51.4,53.8
2021,New York,6271.0,19835913.0,31.6,31.6
2021,North Carolina,4359.0,10551162.0,41.3,43.8
2021,North Dakota,138.0,774948.0,17.8,19.1
2021,Ohio,5859.0,11780017.0,49.7,53.1
2021,Oklahoma,1121.0,3986639.0,28.1,29.2
2021,Oregon,1249.0,4246155.0,29.4,29.5
2021,Pennsylvania,5834.0,12964056.0,45.0,47.4
2021,Rhode Island,476.0,1095610.0,43.4,44.7
2021,South Carolina,2345.0,5190705.0,45.2,48.0
2021,South Dakota,126.0,895376.0,14.1,15.3
2021,Tennessee,3989.0,6975218.0,57.2,59.8
2021,Texas,5938.0,29527941.0,20.1,20.4
2021,Utah,760.0,3337975.0,22.8,24.1
2021,Vermont,264.0,645570.0,40.9,45.5
2021,Virginia,2902.0,8642274.0,33.6,34.6
2021,Washington,2428.0,7738692.0,31.4,30.9
2021,West Virginia,1552.0,1782959.0,87.0,95.0
2021,Wisconsin,1933.0,5895908.0,32.8,35.2
2021,Wyoming,132.0,578803.0,22.8,24.1
2022,Alabama,1646.0,5074296.0,32.4,35.2
2022,Alaska,276.0,733583.0,37.6,37.5
2022,Arizona,2898.0,7359197.0,39.4,41.3
2022,Arkansas,728.0,3045637.0,23.9,25.9
2022,California,11862.0,39029342.0,30.4,29.9
2022,Colorado,1957.0,5839926.0,33.5,33.0
2022,Connecticut,1564.0,3626205.0,43.1,43.4
